Date,MARKET,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2019-12-31,308.23443603515625,122.5505142211914,58.6546630859375,52.109954833984375,29.057729721069336,97.55628204345703,77.81745910644531,58.07039260864258,35.43750762939453,89.22854614257812,59.22477722167969
2020-01-02,311.11700439453125,124.00642395019531,58.18900680541992,52.57863235473633,29.3409423828125,97.81486511230469,79.28842163085938,57.3896598815918,35.02513885498047,90.90274047851562,58.48240280151367
2020-01-03,308.7611389160156,122.95113372802734,58.09588623046875,52.42240905761719,29.029407501220703,96.96246337890625,79.13558197021484,56.46310043334961,35.2817268371582,89.88070678710938,58.60154724121094
2020-01-06,309.9391174316406,123.2931137084961,58.21695327758789,52.83032989501953,29.010528564453125,97.56584167480469,79.16423797607422,56.217281341552734,35.290889739990234,90.09484100341797,58.65653991699219
2020-01-07,309.067626953125,123.09771728515625,57.76991271972656,52.69145965576172,28.82172203063965,97.37430572509766,79.00187683105469,56.151100158691406,34.906002044677734,90.05591583251953,58.574058532714844
2020-01-08,310.71484375,123.4690170288086,57.98411560058594,51.823543548583984,29.010528564453125,98.00641632080078,79.2693099975586,56.34964370727539,35.08012008666992,91.0195541381836,58.54656219482422
2020-01-09,312.8216857910156,124.12367248535156,58.39390563964844,52.2054328918457,29.189895629882812,98.42781066894531,79.60359954833984,56.557647705078125,35.07094955444336,92.05131530761719,58.86733627319336
2020-01-10,311.9214782714844,123.449462890625,58.35664749145508,51.91033935546875,28.972766876220703,98.45655822753906,79.04007720947266,56.33073806762695,35.4100227355957,91.83717346191406,59.02315139770508
2020-01-13,314.066650390625,123.8403091430664,58.73849105834961,51.92768859863281,29.171016693115234,98.11175537109375,79.68958282470703,57.058746337890625,35.840736389160156,92.98575592041016,59.380584716796875
2020-01-14,313.5877685546875,123.80123138427734,58.757118225097656,51.936370849609375,29.1143741607666,98.70557403564453,79.69914245605469,56.8223762512207,35.66661834716797,92.54774475097656,59.55472183227539
2020-01-15,314.29644775390625,123.51786804199219,59.17621994018555,51.55448913574219,28.953882217407227,99.55797576904297,79.82330322265625,57.21001434326172,35.91404342651367,92.65479278564453,60.38874816894531
2020-01-16,316.91094970703125,124.62200164794922,59.334537506103516,51.64127731323242,29.20878028869629,100.07514190673828,80.61609649658203,57.550384521484375,36.23479461669922,93.90071868896484,60.76451110839844
2020-01-17,317.89727783203125,125.06170654296875,59.43697738647461,51.31146240234375,29.29374122619629,100.07514190673828,80.62566375732422,57.80565643310547,36.28061294555664,94.53340911865234,61.18610763549805
2020-01-21,317.2747802734375,124.68063354492188,59.64188003540039,50.391475677490234,29.04829216003418,100.18050384521484,79.73735046386719,57.18165588378906,36.64717483520508,94.49446868896484,61.74516677856445
2020-01-22,317.3131103515625,124.62200164794922,59.68843460083008,49.90543746948242,29.13325309753418,100.30500793457031,79.31707000732422,56.954742431640625,36.35392379760742,94.83513641357422,61.937652587890625
2020-01-23,317.6770324707031,124.80767822265625,59.6325569152832,49.71449279785156,29.057729721069336,99.79740905761719,80.17672729492188,56.888553619384766,36.7021598815918,95.28289794921875,62.487548828125
2020-01-24,314.8519592285156,123.0683822631836,59.222774505615234,49.14166259765625,28.68954849243164,98.13092041015625,79.80421447753906,56.48200988769531,36.64717483520508,94.83513641357422,62.652523040771484
2020-01-27,309.8050231933594,121.23139190673828,59.03651428222656,47.77902603149414,28.245849609375,97.38387298583984,78.2950439453125,55.26236343383789,36.49137878417969,92.57694244384766,62.49671173095703
2020-01-28,313.05157470703125,122.41371154785156,59.11102294921875,47.996009826660156,28.57626724243164,97.86274719238281,78.80126953125,55.88637161254883,36.58302307128906,94.34845733642578,62.75334167480469
2020-01-29,312.7929382324219,122.34532165527344,58.81300354003906,47.492618560791016,28.529064178466797,97.59457397460938,79.2215576171875,56.06601333618164,36.39058303833008,94.591796875,62.918312072753906
2020-01-30,313.80810546875,122.14012908935547,59.51148986816406,47.87450408935547,28.88780403137207,96.88585662841797,79.3075180053711,55.716190338134766,36.473052978515625,95.409423828125,63.5048713684082
2020-01-31,308.10992431640625,122.45278930664062,58.84093475341797,46.381683349609375,28.283611297607422,94.95121002197266,77.47359466552734,54.48708724975586,35.95070266723633,92.79109191894531,63.22076416015625
2020-02-03,310.3987731933594,123.32243347167969,58.84093475341797,45.77413558959961,28.48186492919922,95.81317138671875,77.4449462890625,55.63108444213867,35.98736572265625,94.01751708984375,63.4223747253418
2020-02-04,315.1296691894531,125.56978607177734,59.19484329223633,45.93904113769531,28.755634307861328,97.49880981445312,78.90634155273438,56.6143798828125,36.45473098754883,96.48014068603516,62.78999328613281
2020-02-05,318.7687683105469,126.2049331665039,59.6698112487793,47.666202545166016,29.33150291442871,99.37599182128906,80.22447967529297,57.66384506225586,36.4272346496582,97.04469299316406,63.046627044677734
2020-02-06,319.8414306640625,125.92157745361328,59.77225875854492,47.18016815185547,29.29374122619629,99.4621810913086,80.48237609863281,57.635475158691406,36.58302307128906,97.93045043945312,63.064937591552734
2020-02-07,318.1367492675781,125.37439727783203,59.84676742553711,46.85036087036133,29.189895629882812,98.68640899658203,79.89971923828125,56.81292724609375,36.60135269165039,97.03496551513672,62.863319396972656
2020-02-10,320.51171875,126.79121398925781,60.098209381103516,46.61601638793945,29.27486228942871,99.21317291259766,80.34866333007812,56.78456497192383,37.02289962768555,98.34900665283203,63.10160827636719
2020-02-11,321.0671691894531,127.7878646850586,59.87470245361328,47.13676452636719,29.37870979309082,99.80697631835938,80.6543197631836,57.0965690612793,37.47194290161133,98.01805877685547,63.33073425292969
2020-02-12,323.1357727050781,129.09722900390625,59.84676742553711,47.77035140991211,29.3975887298584,99.93148040771484,81.40889739990234,57.40856170654297,37.71021270751953,99.07902526855469,63.376564025878906
2020-02-13,322.791015625,128.87249755859375,60.20066452026367,47.622806549072266,29.388145446777344,99.4621810913086,80.95040130615234,57.200565338134766,37.93931198120117,98.81622314453125,64.082275390625
2020-02-14,323.3081359863281,128.6770782470703,60.34035873413086,47.37110900878906,29.4259090423584,99.53880310058594,80.8453369140625,57.21001434326172,38.379188537597656,99.24449920654297,64.5130386352539
2020-02-18,322.4749755859375,128.6672821044922,60.12615966796875,46.98054504394531,29.171016693115234,99.18444061279297,80.3868637084961,57.068206787109375,38.342529296875,98.87462615966797,65.05377197265625
2020-02-19,324.0167541503906,129.24380493164062,60.06096267700195,47.60544204711914,29.388145446777344,99.6441650390625,80.35820770263672,57.21947479248047,37.801841735839844,100.05240631103516,64.34806060791016
2020-02-20,322.6856689453125,129.29263305664062,60.10752868652344,47.55337905883789,29.33150291442871,99.00247192382812,80.24358367919922,57.31401443481445,38.2234001159668,99.0108871459961,64.57717895507812
2020-02-21,319.362548828125,127.31886291503906,60.20998001098633,46.98922348022461,29.04829216003418,99.0599365234375,79.8424072265625,57.04928970336914,38.425010681152344,96.7916030883789,64.45803833007812
2020-02-24,308.7707214355469,122.94136047363281,58.822303771972656,44.819419860839844,28.104246139526367,95.93768310546875,77.5691146850586,55.44200134277344,37.91181945800781,92.79109191894531,63.706520080566406
2020-02-25,299.41436767578125,119.6582260131836,57.7606086730957,42.84056091308594,27.1507568359375,93.02613067626953,74.40750885009766,53.04997634887695,36.95875549316406,89.82231140136719,62.36840057373047
